regiao,eixo,categoria,n,evadidos,taxa_evasao_pct,taxa_evasao_geral_regiao_pct,excesso_pp,n_min_ok
15ª Região - PB,ESPEC,10,1,1,100.0,71.6,28.4,False
15ª Região - PB,ESPEC,87,131,131,100.0,71.6,28.4,True
16ª Região - PB,ESPEC,01,15161,749,4.9,4.1,0.8,True
16ª Região - PB,ESPEC,02,5054,326,6.5,4.1,2.3,True
16ª Região - PB,ESPEC,03,12521,444,3.5,4.1,-0.6,True
16ª Região - PB,ESPEC,05,1337,36,2.7,4.1,-1.5,True
16ª Região - PB,ESPEC,06,6,6,100.0,4.1,95.9,False
16ª Região - PB,ESPEC,07,7395,191,2.6,4.1,-1.6,True
16ª Região - PB,ESPEC,09,2,0,0.0,4.1,-4.1,False
16ª Região - PB,ESPEC,10,1,1,100.0,4.1,95.9,False
16ª Região - PB,ESPEC,87,828,0,0.0,4.1,-4.1,True
1ª Região Mata Atlântica - PB,ESPEC,01,31331,926,3.0,1.8,1.2,True
1ª Região Mata Atlântica - PB,ESPEC,02,13285,79,0.6,1.8,-1.2,True
1ª Região Mata Atlântica - PB,ESPEC,03,26022,237,0.9,1.8,-0.8,True
1ª Região Mata Atlântica - PB,ESPEC,04,120,0,0.0,1.8,-1.8,True
1ª Região Mata Atlântica - PB,ESPEC,05,1132,27,2.4,1.8,0.6,True
1ª Região Mata Atlântica - PB,ESPEC,06,393,0,0.0,1.8,-1.8,True
1ª Região Mata Atlântica - PB,ESPEC,07,8716,160,1.8,1.8,0.1,True
1ª Região Mata Atlântica - PB,ESPEC,09,287,0,0.0,1.8,-1.8,True
1ª Região Mata Atlântica - PB,ESPEC,10,284,0,0.0,1.8,-1.8,True
1ª Região Mata Atlântica - PB,ESPEC,87,4,4,100.0,1.8,98.2,False
2ª Região - PB,ESPEC,01,6145,4411,71.8,54.4,17.4,True
2ª Região - PB,ESPEC,02,3670,1023,27.9,54.4,-26.5,True
2ª Região - PB,ESPEC,03,5011,2144,42.8,54.4,-11.6,True
2ª Região - PB,ESPEC,04,9,9,100.0,54.4,45.6,False
2ª Região - PB,ESPEC,05,293,293,100.0,54.4,45.6,True
2ª Região - PB,ESPEC,06,16,16,100.0,54.4,45.6,False
2ª Região - PB,ESPEC,07,1353,1056,78.0,54.4,23.7,True
2ª Região - PB,ESPEC,09,23,23,100.0,54.4,45.6,False
2ª Região - PB,ESPEC,10,5,5,100.0,54.4,45.6,False
2ª Região - PB,ESPEC,87,6,6,100.0,54.4,45.6,False
3ª Região - PB,ESPEC,01,3785,3607,95.3,84.5,10.8,True
3ª Região - PB,ESPEC,02,1740,1593,91.6,84.5,7.0,True
3ª Região - PB,ESPEC,03,3370,2175,64.5,84.5,-20.0,True
3ª Região - PB,ESPEC,05,357,357,100.0,84.5,15.5,True
3ª Região - PB,ESPEC,06,2,2,100.0,84.5,15.5,False
3ª Região - PB,ESPEC,07,1364,1212,88.9,84.5,4.3,True
3ª Região - PB,ESPEC,87,197,197,100.0,84.5,15.5,True
4ª Região - PB,ESPEC,01,2990,1800,60.2,54.2,6.0,True
4ª Região - PB,ESPEC,02,1066,664,62.3,54.2,8.1,True
4ª Região - PB,ESPEC,03,2165,751,34.7,54.2,-19.5,True
4ª Região - PB,ESPEC,05,98,98,100.0,54.2,45.8,True
4ª Região - PB,ESPEC,07,705,473,67.1,54.2,12.9,True
4ª Região - PB,ESPEC,10,1,1,100.0,54.2,45.8,False
4ª Região - PB,ESPEC,87,50,50,100.0,54.2,45.8,True
5ª Região - PB,ESPEC,01,2796,1906,68.2,42.5,25.7,True
5ª Região - PB,ESPEC,02,1244,286,23.0,42.5,-19.5,True
5ª Região - PB,ESPEC,03,3137,821,26.2,42.5,-16.3,True
5ª Região - PB,ESPEC,05,123,123,100.0,42.5,57.5,True
5ª Região - PB,ESPEC,07,1100,398,36.2,42.5,-6.3,True
5ª Região - PB,ESPEC,10,1,1,100.0,42.5,57.5,False
5ª Região - PB,ESPEC,87,57,57,100.0,42.5,57.5,True
6ª Região - PB,ESPEC,01,5385,1946,36.1,24.3,11.8,True
6ª Região - PB,ESPEC,02,2779,59,2.1,24.3,-22.2,True
6ª Região - PB,ESPEC,03,3724,767,20.6,24.3,-3.7,True
6ª Região - PB,ESPEC,04,2,2,100.0,24.3,75.7,False
6ª Região - PB,ESPEC,05,271,271,100.0,24.3,75.7,True
6ª Região - PB,ESPEC,06,5,5,100.0,24.3,75.7,False
6ª Região - PB,ESPEC,07,2090,408,19.5,24.3,-4.8,True
6ª Região - PB,ESPEC,09,4,3,75.0,24.3,50.7,False
6ª Região - PB,ESPEC,10,2,2,100.0,24.3,75.7,False
6ª Região - PB,ESPEC,87,11,11,100.0,24.3,75.7,False
7ª Região - PB,ESPEC,01,2879,2606,90.5,56.4,34.1,True
7ª Região - PB,ESPEC,02,1585,728,45.9,56.4,-10.5,True
7ª Região - PB,ESPEC,03,3228,1063,32.9,56.4,-23.5,True
7ª Região - PB,ESPEC,04,2,2,100.0,56.4,43.6,False
7ª Região - PB,ESPEC,05,143,82,57.3,56.4,1.0,True
7ª Região - PB,ESPEC,06,3,3,100.0,56.4,43.6,False
7ª Região - PB,ESPEC,07,1069,535,50.0,56.4,-6.3,True
7ª Região - PB,ESPEC,09,2,2,100.0,56.4,43.6,False
7ª Região - PB,ESPEC,10,7,7,100.0,56.4,43.6,False
7ª Região - PB,ESPEC,87,1,1,100.0,56.4,43.6,False
8ª Região - PB,ESPEC,01,2759,1380,50.0,33.5,16.5,True
8ª Região - PB,ESPEC,02,1182,230,19.5,33.5,-14.1,True
8ª Região - PB,ESPEC,03,3048,605,19.8,33.5,-13.7,True
8ª Região - PB,ESPEC,04,3,3,100.0,33.5,66.5,False
8ª Região - PB,ESPEC,05,45,45,100.0,33.5,66.5,True
8ª Região - PB,ESPEC,07,547,273,49.9,33.5,16.4,True
8ª Região - PB,ESPEC,09,4,4,100.0,33.5,66.5,False
8ª Região - PB,ESPEC,10,2,2,100.0,33.5,66.5,False
8ª Região - PB,ESPEC,87,2,2,100.0,33.5,66.5,False
9ª Região - PB,ESPEC,01,4518,1477,32.7,21.6,11.1,True
9ª Região - PB,ESPEC,02,1639,265,16.2,21.6,-5.4,True
9ª Região - PB,ESPEC,03,5411,659,12.2,21.6,-9.4,True
9ª Região - PB,ESPEC,05,51,51,100.0,21.6,78.4,True
9ª Região - PB,ESPEC,06,2,2,100.0,21.6,78.4,False
9ª Região - PB,ESPEC,07,1756,430,24.5,21.6,2.9,True
9ª Região - PB,ESPEC,09,5,5,100.0,21.6,78.4,False
9ª Região - PB,ESPEC,10,1,1,100.0,21.6,78.4,False
9ª Região - PB,ESPEC,87,2,2,100.0,21.6,78.4,False
10ª Região - PB,COMPLEX,02,6431,1005,15.6,22.5,-6.8,True
10ª Região - PB,COMPLEX,03,653,587,89.9,22.5,67.4,True
11ª Região - PB,COMPLEX,02,3966,2015,50.8,54.4,-3.6,True
11ª Região - PB,COMPLEX,03,314,314,100.0,54.4,45.6,True
12ª Região - PB,COMPLEX,02,9452,6514,68.9,71.8,-2.9,True
12ª Região - PB,COMPLEX,03,968,965,99.7,71.8,27.9,True
13ª Região - PB,COMPLEX,02,3856,1068,27.7,34.5,-6.8,True
13ª Região - PB,COMPLEX,03,421,407,96.7,34.5,62.2,True
14ª Região - PB,COMPLEX,02,9318,4508,48.4,52.0,-3.6,True
14ª Região - PB,COMPLEX,03,777,741,95.4,52.0,43.4,True
15ª Região - PB,COMPLEX,02,8811,6097,69.2,71.6,-2.4,True
15ª Região - PB,COMPLEX,03,729,729,100.0,71.6,28.4,True
16ª Região - PB,COMPLEX,02,38670,1326,3.4,4.1,-0.7,True
16ª Região - PB,COMPLEX,03,3635,427,11.7,4.1,7.6,True
1ª Região Mata Atlântica - PB,COMPLEX,02,72115,1350,1.9,1.8,0.1,True
1ª Região Mata Atlântica - PB,COMPLEX,03,9459,83,0.9,1.8,-0.9,True
2ª Região - PB,COMPLEX,02,15134,7590,50.2,54.4,-4.2,True
2ª Região - PB,COMPLEX,03,1397,1396,99.9,54.4,45.6,True
3ª Região - PB,COMPLEX,02,9947,8275,83.2,84.5,-1.3,True
3ª Região - PB,COMPLEX,03,868,868,100.0,84.5,15.5,True
4ª Região - PB,COMPLEX,02,6496,3307,50.9,54.2,-3.3,True
4ª Região - PB,COMPLEX,03,579,530,91.5,54.2,37.3,True
5ª Região - PB,COMPLEX,02,7746,2926,37.8,42.5,-4.7,True
5ª Região - PB,COMPLEX,03,712,666,93.5,42.5,51.1,True
6ª Região - PB,COMPLEX,02,12680,2796,22.1,24.3,-2.3,True
6ª Região - PB,COMPLEX,03,1593,678,42.6,24.3,18.2,True
7ª Região - PB,COMPLEX,02,8164,4275,52.4,56.4,-4.0,True
7ª Região - PB,COMPLEX,03,755,754,99.9,56.4,43.5,True
8ª Região - PB,COMPLEX,02,6889,1848,26.8,33.5,-6.7,True
8ª Região - PB,COMPLEX,03,703,696,99.0,33.5,65.5,True
9ª Região - PB,COMPLEX,02,12472,1987,15.9,21.6,-5.7,True
9ª Região - PB,COMPLEX,03,913,905,99.1,21.6,77.5,True
10ª Região - PB,CAR_INT,01,1828,922,50.4,22.5,28.0,True
10ª Região - PB,CAR_INT,02,5256,670,12.7,22.5,-9.7,True
11ª Região - PB,CAR_INT,01,1170,681,58.2,54.4,3.8,True
11ª Região - PB,CAR_INT,02,3110,1648,53.0,54.4,-1.4,True
12ª Região - PB,CAR_INT,01,3088,2228,72.2,71.8,0.4,True
12ª Região - PB,CAR_INT,02,7331,5250,71.6,71.8,-0.2,True
12ª Região - PB,CAR_INT,05,1,1,100.0,71.8,28.2,False
13ª Região - PB,CAR_INT,01,1128,616,54.6,34.5,20.1,True
13ª Região - PB,CAR_INT,02,3148,858,27.3,34.5,-7.2,True
13ª Região - PB,CAR_INT,06,1,1,100.0,34.5,65.5,False
14ª Região - PB,CAR_INT,01,2445,1814,74.2,52.0,22.2,True
14ª Região - PB,CAR_INT,02,7650,3435,44.9,52.0,-7.1,True
15ª Região - PB,CAR_INT,01,2289,2212,96.6,71.6,25.1,True
15ª Região - PB,CAR_INT,02,7242,4605,63.6,71.6,-8.0,True
15ª Região - PB,CAR_INT,05,4,4,100.0,71.6,28.4,False
15ª Região - PB,CAR_INT,06,5,5,100.0,71.6,28.4,False
16ª Região - PB,CAR_INT,01,10695,649,6.1,4.1,1.9,True
16ª Região - PB,CAR_INT,02,31584,1104,3.5,4.1,-0.6,True
16ª Região - PB,CAR_INT,05,14,0,0.0,4.1,-4.1,False
16ª Região - PB,CAR_INT,06,12,0,0.0,4.1,-4.1,False
1ª Região Mata Atlântica - PB,CAR_INT,01,20030,780,3.9,1.8,2.1,True
1ª Região Mata Atlântica - PB,CAR_INT,02,61539,653,1.1,1.8,-0.7,True
1ª Região Mata Atlântica - PB,CAR_INT,06,5,0,0.0,1.8,-1.8,False
2ª Região - PB,CAR_INT,01,4439,2909,65.5,54.4,11.2,True
2ª Região - PB,CAR_INT,02,12090,6075,50.2,54.4,-4.1,True
2ª Região - PB,CAR_INT,05,1,1,100.0,54.4,45.6,False
2ª Região - PB,CAR_INT,06,1,1,100.0,54.4,45.6,False
3ª Região - PB,CAR_INT,01,2499,2248,90.0,84.5,5.4,True
3ª Região - PB,CAR_INT,02,8302,6881,82.9,84.5,-1.7,True
3ª Região - PB,CAR_INT,05,8,8,100.0,84.5,15.5,False
3ª Região - PB,CAR_INT,06,6,6,100.0,84.5,15.5,False
4ª Região - PB,CAR_INT,01,1811,1191,65.8,54.2,11.5,True
