regiao,eixo,categoria,n,evadidos,taxa_evasao_pct,taxa_evasao_geral_regiao_pct,excesso_pp,n_min_ok
3ª Região - PB,capitulo_cid,R,121,53,43.8,84.5,-40.7,True
3ª Região - PB,capitulo_cid,S,936,936,100.0,84.5,15.5,True
3ª Região - PB,capitulo_cid,T,195,195,100.0,84.5,15.5,True
3ª Região - PB,capitulo_cid,U,32,32,100.0,84.5,15.5,True
3ª Região - PB,capitulo_cid,Z,357,291,81.5,84.5,-3.0,True
4ª Região - PB,capitulo_cid,A,212,70,33.0,54.2,-21.2,True
4ª Região - PB,capitulo_cid,B,38,13,34.2,54.2,-20.0,True
4ª Região - PB,capitulo_cid,C,445,379,85.2,54.2,30.9,True
4ª Região - PB,capitulo_cid,D,373,125,33.5,54.2,-20.7,True
4ª Região - PB,capitulo_cid,E,268,53,19.8,54.2,-34.5,True
4ª Região - PB,capitulo_cid,F,151,150,99.3,54.2,45.1,True
4ª Região - PB,capitulo_cid,G,75,60,80.0,54.2,25.8,True
4ª Região - PB,capitulo_cid,H,55,45,81.8,54.2,27.6,True
4ª Região - PB,capitulo_cid,I,462,246,53.2,54.2,-1.0,True
4ª Região - PB,capitulo_cid,J,729,209,28.7,54.2,-25.6,True
4ª Região - PB,capitulo_cid,K,833,430,51.6,54.2,-2.6,True
4ª Região - PB,capitulo_cid,L,173,45,26.0,54.2,-28.2,True
4ª Região - PB,capitulo_cid,M,233,115,49.4,54.2,-4.9,True
4ª Região - PB,capitulo_cid,N,479,202,42.2,54.2,-12.1,True
4ª Região - PB,capitulo_cid,O,1216,814,66.9,54.2,12.7,True
4ª Região - PB,capitulo_cid,P,176,170,96.6,54.2,42.4,True
4ª Região - PB,capitulo_cid,Q,43,42,97.7,54.2,43.4,True
4ª Região - PB,capitulo_cid,R,82,47,57.3,54.2,3.1,True
4ª Região - PB,capitulo_cid,S,620,393,63.4,54.2,9.2,True
4ª Região - PB,capitulo_cid,T,139,92,66.2,54.2,12.0,True
4ª Região - PB,capitulo_cid,U,7,7,100.0,54.2,45.8,False
4ª Região - PB,capitulo_cid,Z,266,130,48.9,54.2,-5.4,True
5ª Região - PB,capitulo_cid,A,506,74,14.6,42.5,-27.8,True
5ª Região - PB,capitulo_cid,B,38,17,44.7,42.5,2.3,True
