cod_municipio,nome_municipio,populacao,porte,recebidos_de_fora,enviados_para_fora,saldo,taxa_evasao_pct
251580,Serra Redonda,6975,Ate 10 mil,0,413,-413,100.0
250950,Montadas,6144,Ate 10 mil,0,416,-416,100.0
251040,Olho d'Água,6059,Ate 10 mil,0,428,-428,100.0
250355,Cacimbas,7513,Ate 10 mil,0,429,-429,100.0
250939,Maturéia,6717,Ate 10 mil,0,430,-430,100.0
250670,Imaculada,10497,10 a 20 mil,0,430,-430,100.0
250520,Cuitegi,6890,Ate 10 mil,0,431,-431,100.0
250170,Barra de São Miguel,6123,Ate 10 mil,0,435,-435,100.0
250450,Condado,6629,Ate 10 mil,0,437,-437,100.0
251000,Nazarezinho,7394,Ate 10 mil,0,445,-445,100.0
250077,Aparecida,8257,Ate 10 mil,0,451,-451,100.0
251597,Sobrado,8646,Ate 10 mil,0,451,-451,100.0
250760,Juarez Távora,8088,Ate 10 mil,0,453,-453,100.0
250090,Arara,12482,10 a 20 mil,0,456,-456,98.91540130151844
251700,Umbuzeiro,9274,Ate 10 mil,3,459,-456,91.07142857142857
251315,Santa Cecília,8113,Ate 10 mil,0,461,-461,100.0
250820,Lagoa de Dentro,8123,Ate 10 mil,0,464,-464,100.0
251490,São Mamede,7629,Ate 10 mil,0,465,-465,100.0
250403,Capim,7446,Ate 10 mil,0,467,-467,100.0
250120,Areial,7434,Ate 10 mil,0,470,-470,100.0
251340,Santa Luzia,15418,10 a 20 mil,229,701,-472,91.03896103896103
250390,Camalaú,6327,Ate 10 mil,0,488,-488,100.0
250240,Bonito de Santa Fé,10433,10 a 20 mil,6,495,-489,76.15384615384616
250500,Cubati,7842,Ate 10 mil,0,492,-492,100.0
250440,Conceição,18731,10 a 20 mil,159,651,-492,52.62732417138238
250157,Barra de Santana,8247,Ate 10 mil,0,501,-501,100.0
250570,Dona Inês,10638,10 a 20 mil,0,502,-502,100.0
250850,Livramento,7041,Ate 10 mil,0,503,-503,100.0
250625,Gado Bravo,8398,Ate 10 mil,0,504,-504,100.0
250930,Mataraca,8650,Ate 10 mil,0,511,-511,100.0
251280,Riacho dos Cavalos,8788,Ate 10 mil,0,526,-526,100.0
250980,Mulungu,8909,Ate 10 mil,0,532,-532,100.0
250010,Água Branca,9580,Ate 10 mil,3,536,-533,63.20754716981132
251510,São Sebastião de Lagoa de Roça,11387,10 a 20 mil,0,541,-541,100.0
251180,Pirpirituba,9411,Ate 10 mil,0,541,-541,100.0
250720,Itatuba,10840,10 a 20 mil,0,563,-563,100.0
250330,Cachoeira dos Índios,9335,Ate 10 mil,0,566,-566,100.0
251090,Paulista,12172,10 a 20 mil,15,590,-575,64.48087431693989
250053,Alcantil,5806,Ate 10 mil,0,575,-575,100.0
250790,Juripiranga,10255,10 a 20 mil,0,582,-582,100.0
251680,Triunfo,10315,10 a 20 mil,0,597,-597,100.0
251310,Salgado de São Félix,11741,10 a 20 mil,0,606,-606,100.0
250140,Baía da Traição,9741,Ate 10 mil,0,607,-607,100.0
250540,Desterro,8314,Ate 10 mil,0,607,-607,100.0
250480,Coremas,14987,10 a 20 mil,74,692,-618,45.0227716330514
251540,São Vicente do Seridó,10652,10 a 20 mil,0,634,-634,93.09838472834068
250160,Barra de Santa Rosa,13024,10 a 20 mil,0,641,-641,100.0
250280,Brejo do Cruz,14095,10 a 20 mil,0,644,-644,79.6044499381953
250860,Lucena,13088,10 a 20 mil,0,655,-655,100.0
250905,Marcação,9537,Ate 10 mil,0,668,-668,100.0
250350,Cacimba de Dentro,16332,10 a 20 mil,1,679,-678,97.97979797979798
250610,Fagundes,11307,10 a 20 mil,0,682,-682,100.0
250940,Mogeiro,14435,10 a 20 mil,0,703,-703,100.0
251200,Pocinhos,18038,10 a 20 mil,309,1018,-709,76.54135338345864
250100,Araruna,17360,10 a 20 mil,0,719,-719,100.0
251010,Nova Floresta,9840,Ate 10 mil,0,735,-735,100.0
250920,Massaranduba,14756,10 a 20 mil,1,754,-753,94.84276729559748
251690,Uiraúna,15431,10 a 20 mil,20,791,-771,36.20137299771167
251150,Pilar,12889,10 a 20 mil,0,777,-777,100.0
250070,São João do Rio do Peixe,18500,10 a 20 mil,64,848,-784,79.84934086629002
250640,Gurinhém,14141,10 a 20 mil,0,792,-792,100.0
250510,Cuité,20208,20 a 50 mil,20,820,-800,55.78231292517007
251610,Soledade,14409,10 a 20 mil,2,805,-803,78.07953443258972
251270,Remígio,18399,10 a 20 mil,0,804,-804,100.0
251190,Pitimbu,17166,10 a 20 mil,0,810,-810,100.0
250080,Araçagi,16991,10 a 20 mil,0,846,-846,100.0
250730,Jacaraú,14969,10 a 20 mil,0,879,-879,100.0
251670,Teixeira,15129,10 a 20 mil,0,880,-880,100.0
250050,Alagoinha,14140,10 a 20 mil,0,917,-917,100.0
250250,Boqueirão,18216,10 a 20 mil,70,1002,-932,80.67632850241546
251450,São José de Piranhas,19561,10 a 20 mil,21,966,-945,77.03349282296651
250150,Bananeiras,24134,20 a 50 mil,55,1000,-945,78.43137254901961
251240,Puxinanã,14942,10 a 20 mil,0,946,-946,100.0
250770,Juazeirinho,17520,10 a 20 mil,2,953,-951,93.89162561576354
250110,Areia,23031,20 a 50 mil,0,964,-964,87.23981900452489
250490,Cruz do Espírito Santo,17821,10 a 20 mil,0,991,-991,100.0
250300,Caaporã,21942,20 a 50 mil,3,1024,-1021,95.79045837231057
250130,Aroeiras,19142,10 a 20 mil,0,1025,-1025,80.77226162332545
250710,Itapororoca,19165,10 a 20 mil,103,1151,-1048,97.21283783783784
250680,Ingá,18234,10 a 20 mil,0,1075,-1075,100.0
250910,Mari,22170,20 a 50 mil,0,1082,-1082,100.0
250040,Alagoa Nova,21823,20 a 50 mil,1,1088,-1087,77.93696275071633
250030,Alagoa Grande,26655,20 a 50 mil,1,1187,-1186,81.13465481886534
251390,São Bento,33845,20 a 50 mil,41,1231,-1190,58.01131008482564
250700,Itaporanga,24766,20 a 50 mil,108,1308,-1200,93.83070301291248
250060,Alhandra,23065,20 a 50 mil,0,1247,-1247,100.0
250600,Esperança,32599,20 a 50 mil,6,1390,-1384,68.70983687592684
250830,Lagoa Seca,29209,20 a 50 mil,28,1435,-1407,83.91812865497076
251290,Rio Tinto,25500,20 a 50 mil,0,1472,-1472,100.0
251120,Pedras de Fogo,31356,20 a 50 mil,22,1591,-1569,74.65978413890193
250460,Conde,30007,20 a 50 mil,0,1833,-1833,100.0
250320,Cabedelo,70734,50 a 100 mil,120,2317,-2197,57.47953361448772
251530,Sapé,53457,50 a 100 mil,61,2372,-2311,80.13513513513513
250180,Bayeux,83862,50 a 100 mil,8,4718,-4710,99.68307627297698
