grupo,internacoes,pct_alta_complexidade,pct_urgencia,val_tot_medio,val_tot_mediana,val_tot_p90,pct_diag_cancer_sangue_C_D
Origem fronteiriça (<= 20 km),1537,13.08,48.47,1991.56,587.51,3376.18,28.56
Origem no interior da PB,2145,36.18,53.01,5061.13,794.89,8101.53,22.52
