codigo_municipio,nome_municipio,codigo_regiao_saude,nome_regiao_saude
251310,Salgado De Sao Felix,25012,12ª Região - PB
251315,Santa Cecilia,25015,15ª Região - PB
251320,Santa Cruz,25010,10ª Região - PB
251330,Santa Helena,25009,9ª Região - PB
251335,Santa Ines,25007,7ª Região - PB
251340,Santa Luzia,25006,6ª Região - PB
251350,Santana De Mangueira,25007,7ª Região - PB
251360,Santana Dos Garrotes,25007,7ª Região - PB
251365,Joca Claudino,25009,9ª Região - PB
251370,Santa Rita,25001,1ª Região Mata Atlântica - PB
251380,Santa Teresinha,25006,6ª Região - PB
251385,Santo Andre,25016,16ª Região - PB
251390,Sao Bento,25008,8ª Região - PB
251392,Sao Bentinho,25013,13ª Região - PB
251394,Sao Domingos Do Cariri,25015,15ª Região - PB
251396,Sao Domingos,25013,13ª Região - PB
251398,Sao Francisco,25010,10ª Região - PB
251400,Sao Joao Do Cariri,25005,5ª Região - PB
251410,Sao Joao Do Tigre,25005,5ª Região - PB
251420,Sao Jose Da Lagoa Tapada,25010,10ª Região - PB
251430,Sao Jose De Caiana,25007,7ª Região - PB
251440,Sao Jose De Espinharas,25006,6ª Região - PB
251445,Sao Jose Dos Ramos,25012,12ª Região - PB
251450,Sao Jose De Piranhas,25009,9ª Região - PB
251455,Sao Jose De Princesa,25011,11ª Região - PB
251460,Sao Jose Do Bonfim,25006,6ª Região - PB
251465,Sao Jose Do Brejo Do Cruz,25008,8ª Região - PB
251470,Sao Jose Do Sabugi,25006,6ª Região - PB
251480,Sao Jose Dos Cordeiros,25005,5ª Região - PB
251490,Sao Mamede,25006,6ª Região - PB
251500,Sao Miguel De Taipu,25012,12ª Região - PB
251510,Sao Sebastiao De Lagoa De Roca,25003,3ª Região - PB
251520,Sao Sebastiao Do Umbuzeiro,25005,5ª Região - PB
251530,Sape,25001,1ª Região Mata Atlântica - PB
251540,Sao Vicente Do Serido,25004,4ª Região - PB
251550,Serra Branca,25005,5ª Região - PB
251560,Serra Da Raiz,25002,2ª Região - PB
